Vv_stef 2000 1000 gt-001
rank,x,y,Fabs,Frel,intra
1,vit_09s0002g06750,vit_19s0015g00510,2074,1.0,False
2,vit_11s0016g05340,vit_19s0090g01050,2062,1.0,False
3,vit_01s0137g00170,vit_11s0016g05340,2058,1.0,False
4,vit_10s0003g01010,vit_11s0016g05340,2074,1.0,False
5,vit_09s0002g06750,vit_18s0122g00220,2059,1.0,False
6,vit_12s0059g02310,vit_14s0108g01080,2070,1.0,False
7,vit_00s1314g00010,vit_11s0016g05340,2062,1.0,False
8,vit_01s0137g00410,vit_11s0016g05340,2059,1.0,False
9,vit_04s0008g05440,vit_12s0059g01590,2065,1.0,False
10,vit_04s0069g01120,vit_09s0002g06750,2053,1.0,False
11,vit_14s0060g01090,vit_14s0108g01080,2053,1.0,False
12,vit_11s0016g05340,vit_14s0030g00220,2066,1.0,False
13,vit_00s0361g00090,vit_11s0016g05340,2052,1.0,False
14,vit_07s0031g01680,vit_11s0016g05340,2056,1.0,False
15,vit_07s0031g01890,vit_11s0016g05340,2077,1.0,False
16,vit_04s0008g05440,vit_09s0002g06750,57999,0.999982758621,True
17,vit_11s0016g05340,vit_14s0006g02290,2078,0.999518999519,False
18,vit_11s0016g05340,vit_13s0067g01350,2072,0.999517607332,False
19,vit_02s0025g01240,vit_11s0016g05340,2062,0.999515269026,False
20,vit_04s0008g05440,vit_13s0067g00400,2057,0.999514091351,False
21,vit_09s0002g02490,vit_14s0108g01080,2063,0.999031476998,False
22,vit_09s0002g06750,vit_12s0059g01830,2054,0.999027237354,False
23,vit_06s0004g01550,vit_09s0002g06750,2070,0.998552821997,False
24,vit_10s0116g01840,vit_11s0016g05340,2056,0.99854298203,False
25,vit_08s0007g02920,vit_14s0108g01080,2052,0.998540145985,False
26,vit_09s0002g06750,vit_11s0016g05340,57915,0.998534482759,True
27,vit_09s0002g06750,vit_13s0067g02390,2066,0.99806763285,False
28,vit_00s0225g00080,vit_11s0016g05340,2062,0.998063891578,False
29,vit_09s0002g06750,vit_18s0001g10050,2058,0.99806013579,False
30,vit_11s0016g05340,vit_14s0068g00140,2057,0.998059194566,False
31,vit_11s0016g05340,vit_18s0122g00220,2055,0.998057309373,False
32,vit_07s0104g00090,vit_14s0108g01080,2055,0.998057309373,False
33,vit_04s0008g05440,vit_13s0067g00730,2064,0.997101449275,False
34,vit_00s0665g00020,vit_09s0002g06750,2054,0.997087378641,False
35,vit_04s0008g05440,vit_09s0002g03140,2049,0.997080291971,False
36,vit_03s0038g01410,vit_09s0002g06750,2055,0.996605237633,False
37,vit_14s0108g01080,vit_17s0053g00590,2050,0.996596985902,False
38,vit_14s0108g01080,vit_15s0021g02110,2057,0.99612590799,False
39,vit_00s0218g00100,vit_09s0002g06750,2056,0.995641646489,False
40,vit_00s0522g00010<br>vit_00s0266g00010<br>vit_00s0372g00070<br>vit_00s0372g00080<br>vit_00s0572g00010<br>vit_00s0372g00040<br>vit_00s0847g00020<br>vit_00s0572g00020,vit_11s0016g05340,2049,0.995626822157,False
41,vit_11s0016g05340,vit_15s0048g03000,2046,0.995620437956,False
42,vit_08s0007g02000,vit_09s0002g06750,2053,0.995152690257,False
43,vit_02s0025g02630,vit_09s0002g06750,2052,0.995150339476,False
44,vit_04s0008g05440,vit_12s0059g00230,2057,0.994680851064,False
45,vit_11s0016g05340,vit_13s0067g02910,2054,0.994673123487,False
46,vit_04s0008g05440,vit_18s0001g11120,2048,0.993692382339,False
47,vit_12s0059g01870,vit_14s0108g01080,2042,0.993190661479,False
48,vit_04s0008g05440,vit_19s0090g00710,2052,0.992743105951,False
49,vit_08s0040g02250,vit_11s0016g05340,2049,0.99273255814,False
50,vit_14s0108g01080,vit_18s0122g01400,2045,0.992718446602,False
51,vit_10s0042g01010,vit_11s0016g05340,2044,0.992714910151,False
52,vit_08s0058g00800,vit_09s0002g06750,2060,0.991337824832,False
53,vit_01s0010g00710,vit_14s0108g01080,2046,0.990799031477,False
54,vit_00s0186g00090,vit_14s0108g01080,2043,0.990785645005,False
55,vit_11s0016g05340,vit_13s0067g01410,2051,0.990342829551,False
56,vit_03s0038g01410,vit_11s0016g05340,2042,0.990300678952,False
57,vit_11s0016g05340,vit_18s0041g00840,2031,0.989766081871,False
58,vit_03s0063g01880,vit_04s0008g05440,2033,0.989294403893,False
59,vit_04s0008g05440,vit_14s0219g00280,2048,0.988894253984,False
60,vit_04s0008g05440,vit_08s0056g00800,2046,0.987451737452,False
61,vit_02s0012g00660,vit_09s0002g06750,2030,0.985436893204,False
62,vit_09s0002g06750,vit_15s0046g00710,2045,0.984593163216,False
63,vit_11s0016g05340,vit_14s0068g00170,2027,0.983980582524,False
64,vit_11s0016g05340,vit_17s0053g00710,2030,0.983527131783,False
65,vit_00s0399g00020,vit_04s0008g05440,2020,0.981535471331,False
66,vit_00s0286g00130,vit_14s0108g01080,2018,0.980563654033,False
67,vit_04s0008g05440,vit_14s0108g01080,56753,0.9785,True
68,vit_01s0011g00080,vit_11s0016g05340,2008,0.977128953771,False
69,vit_11s0016g05340,vit_13s0067g01590,2013,0.974346563408,False
70,vit_09s0002g06750,vit_18s0001g02720,2016,0.973913043478,False
71,vit_12s0057g01030,vit_14s0108g01080,2003,0.972330097087,False
72,vit_06s0009g03390,vit_09s0002g06750,1989,0.96694214876,False
73,vit_04s0023g01720,vit_09s0002g06750,1974,0.964809384164,False
74,vit_09s0002g06750,vit_12s0028g03960,1997,0.964734299517,False
75,vit_09s0002g03050,vit_09s0002g06750,1985,0.964060223409,False
76,vit_11s0016g05340,vit_18s0001g01320,1978,0.961594555177,False
77,vit_09s0002g06750,vit_13s0019g02880,1979,0.959747817653,False
78,vit_09s0002g06750,vit_19s0090g00730,1971,0.958657587549,False
79,vit_14s0108g01080,vit_15s0046g02400,1977,0.951853635051,False
80,vit_13s0019g04260,vit_14s0108g01080,1962,0.950121065375,False
81,vit_14s0108g01080,vit_15s0048g02680,1961,0.948717948718,False
82,vit_11s0052g00800,vit_14s0108g01080,1961,0.948259187621,False
83,vit_09s0002g06750,vit_10s0003g01010,1964,0.946962391514,False
84,vit_10s0042g01040,vit_11s0016g05340,1945,0.946932814021,False
85,vit_09s0002g06750,vit_11s0016g01290,1939,0.944471505114,False
86,vit_09s0002g06750,vit_14s0066g02270,1950,0.942940038685,False
87,vit_04s0008g05440,vit_14s0128g00510<br>vit_14s0128g00550,1949,0.942456479691,False
88,vit_04s0008g05440,vit_09s0002g06990,1941,0.940862821134,False
89,vit_14s0108g01080,vit_18s0166g00220,1944,0.94003868472,False
90,vit_04s0008g03950,vit_11s0016g05340,1947,0.939671814672,False
91,vit_09s0002g06750,vit_15s0046g00310,1944,0.939584340261,False
92,vit_00s0194g00210<br>vit_00s0194g00250,vit_11s0016g05340,1927,0.937712895377,False
93,vit_04s0008g05440,vit_09s0054g01220,1937,0.937106918239,False
94,vit_14s0108g01080,vit_17s0000g00950,1928,0.936831875607,False
95,vit_12s0028g00310,vit_14s0108g01080,1943,0.936385542169,False
96,vit_09s0002g06750,vit_16s0098g01740,1923,0.933495145631,False
97,vit_04s0008g05440,vit_15s0046g00170,1917,0.931939718036,False
98,vit_11s0016g05340,vit_18s0001g08410,1909,0.930765480254,False
99,vit_11s0016g05340,vit_14s0060g01090,1908,0.929371651242,False
100,vit_04s0008g05440,vit_18s0072g01000,1915,0.92916060165,False
101,vit_00s0361g00040,vit_04s0008g05440,1919,0.927501208313,False
102,vit_04s0008g05440,vit_08s0040g02250,1912,0.926356589147,False
103,vit_02s0025g00560,vit_09s0002g06750,1899,0.926341463415,False
104,vit_09s0002g06750,vit_15s0046g00700,1902,0.924647544968,False
105,vit_02s0033g01050,vit_09s0002g06750,1900,0.923675255226,False
106,vit_09s0002g06750,vit_15s0046g03240,1900,0.921882581271,False
107,vit_04s0008g05440,vit_19s0014g04620,1899,0.920950533463,False
108,vit_00s0271g00030<br>vit_00s0271g00060,vit_11s0016g05340,1890,0.920603994155,False
109,vit_14s0108g01080,vit_18s0041g00710,1895,0.920349684313,False
110,vit_11s0016g05340,vit_14s0036g00460,1910,0.920038535645,False
111,vit_08s0007g09000,vit_14s0108g01080,1895,0.918565196316,False
112,vit_03s0038g01280,vit_11s0016g05340,1900,0.916988416988,False
113,vit_14s0068g00870,vit_14s0108g01080,1895,0.916344294004,False
114,vit_04s0008g05440,vit_11s0016g04540,1870,0.9130859375,False
115,vit_09s0002g06750,vit_15s0046g01960,1880,0.913064594463,False
116,vit_09s0002g06750,vit_14s0066g02410,1879,0.912578921807,False
117,vit_05s0077g02000,vit_11s0016g05340,1876,0.91067961165,False
118,vit_05s0020g04020,vit_14s0108g01080,1868,0.910331384016,False
119,vit_01s0010g03850,vit_14s0108g01080,1884,0.910144927536,False
120,vit_01s0026g02030,vit_11s0016g05340,1872,0.909620991254,False
121,vit_04s0008g05440,vit_14s0108g00150,1883,0.907469879518,False
122,vit_04s0008g05440,vit_14s0066g00400,1872,0.907416383907,False
123,vit_04s0008g05440,vit_16s0050g00830,1867,0.902804642166,False
124,vit_08s0056g01130,vit_09s0002g06750,1864,0.900918318028,False
125,vit_07s0205g00180,vit_09s0002g06750,1855,0.900485436893,False
126,vit_01s0026g00570,vit_04s0008g05440,1870,0.900337024555,False
127,vit_08s0007g05180,vit_11s0016g05340,1867,0.899325626204,False
128,vit_04s0008g05440,vit_13s0067g02910,1855,0.898305084746,False
129,vit_09s0002g06750,vit_12s0059g00190,1846,0.898296836983,False
130,vit_04s0008g05440,vit_15s0021g02510,1861,0.897732754462,False
131,vit_09s0002g06750,vit_13s0067g00400,1847,0.897473275024,False
132,vit_02s0012g01440,vit_14s0108g01080,1841,0.894123360855,False
133,vit_04s0023g02880,vit_14s0108g01080,1835,0.892509727626,False
134,vit_12s0059g00190,vit_14s0108g01080,1834,0.892457420925,False
135,vit_03s0088g00270,vit_14s0108g01080,1853,0.892152142513,False
136,vit_06s0004g06700,vit_09s0002g06750,1828,0.892142508541,False
137,vit_11s0016g05340,vit_16s0050g01950,1830,0.891812865497,False
