CHEK2
TERT
MXI1
SPOP
PTEN
MAP2K1
BRCA2
CDKN1B
ATM
KLF6
FGFR2
AR
MDM4
JAZF1
FGFR4
TET2
CTNNB1
PIK3CA
CASP8
TMPRSS2
NTRK1
TP53
