Namegene
VIT_10S0042G00840
VIT_10S0042G00910
VIT_10S0042G00930<BR>VIT_10S0042G00890<BR>VIT_10S0042G00870<BR>VIT_10S0042G00860<BR>VIT_10S0042G00920
VIT_16S0100G00750
VIT_16S0100G00760
VIT_16S0100G00770
VIT_16S0100G00830<BR>VIT_16S0100G01120<BR>VIT_16S0100G00780<BR>VIT_16S0100G00910
VIT_16S0100G00860<BR>VIT_16S0100G00940<BR>VIT_16S0100G00800<BR>VIT_16S0100G00920<BR>VIT_16S0100G00930<BR>VIT_16S0100G00810<BR>VIT_16S0100G00840<BR>VIT_16S0100G00850
VIT_16S0100G00880
VIT_16S0100G00900
VIT_16S0100G00960
VIT_16S0100G01000
VIT_16S0100G01010<BR>VIT_16S0100G00950<BR>VIT_16S0100G01030<BR>VIT_16S0100G00990
VIT_16S0100G01040
VIT_16S0100G01060
VIT_16S0100G01100
VIT_16S0100G01110
VIT_16S0100G01130
VIT_16S0100G01140
VIT_16S0100G01150
VIT_16S0100G01160
VIT_16S0100G01190
VIT_16S0100G01200<BR>VIT_16S0100G01070
